seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped,titan_goal_step,spot_goal_step,titan_final_goal_distance,spot_final_goal_distance,min_robot_distance,titan_action_mae,spot_action_mae
32,depth4_e,122,128.578966767654,True,False,False,False,True,True,False,False,True,True,False,False,,,4.539266163209528,5.320783309055407,1.1543537378311157,0.9111917368808062,1.1595898642009965
32,depth6_e,120,115.36405078712143,True,False,False,False,True,True,False,False,True,True,False,False,,,5.408434311982084,5.905528249490529,1.1196131706237793,0.8611741088587632,1.1487028973359088
32,high_fidelity_e,128,144.82835158336508,True,False,False,False,True,True,False,False,True,True,False,False,,,4.827700200787813,4.541410065959788,1.3486359119415283,0.794640874359126,0.9778234356595654
33,ppo,69,80.52282157349833,True,False,False,False,True,True,True,False,False,True,True,False,,,5.445574900729529,3.9318107684893007,0.8885976672172546,,
33,depth4_e,117,66.09621040242625,True,False,False,False,True,True,True,False,False,True,True,False,,,5.447603818351828,5.480519758347853,1.415355920791626,0.26512884946585163,0.9784014315604728
33,depth6_e,54,59.89661638160909,True,False,False,False,True,True,True,False,False,True,False,False,,,5.533040496762365,4.747611952563094,0.92192143201828,0.24914020875166404,0.7980849449344328
33,high_fidelity_e,48,54.79464518222776,True,False,False,False,True,True,True,False,False,True,False,False,,,5.577386375172981,4.768309352574134,0.9547466039657593,0.2565994169659515,0.9824966725992953
34,ppo,52,43.449907646608125,True,False,False,False,True,True,True,False,True,True,False,False,,,4.918530471727675,6.138198426906108,1.1557137966156006,,
34,depth4_e,99,68.42428835959943,True,False,False,False,True,True,True,False,False,True,True,False,,,4.775398545148486,6.058056683055616,1.155724287033081,0.4694608587389244,1.0618250423396223
34,depth6_e,27,-12.19497455620852,True,False,False,False,True,True,False,False,True,True,False,False,,,6.210007741534781,6.686237307741091,0.9695908427238464,0.25361478282864874,0.5636319173268076
34,high_fidelity_e,47,56.48228915576828,True,False,False,False,True,True,True,False,False,True,False,False,,,4.908319651662295,6.2557205934514695,1.1560566425323486,0.3586661383884778,0.633207178817186
35,ppo,200,1203.0816867595197,True,False,True,False,True,False,True,False,False,False,False,False,,110,5.291426189831346,1.578840085631787,1.7875587940216064,,
35,depth4_e,105,107.49303125488869,True,False,False,False,True,True,False,False,True,True,False,False,,,5.720540629039731,3.7698905313745534,1.1450551748275757,0.33027023452985926,0.7644673947962632
35,depth6_e,76,93.64256623487307,True,False,False,False,True,True,False,False,True,True,False,False,,,5.960628983593992,4.127077868802982,1.2101019620895386,0.5493306691721657,0.5842243784018845
35,high_fidelity_e,200,2248.3581353797886,True,True,True,True,True,False,True,False,False,False,False,False,144,108,4.515829961885534,1.4522165429860054,1.6387507915496826,0.32798786311048317,0.5267416868154519
36,ppo,44,40.81250172193743,True,False,False,False,True,True,True,False,False,True,False,False,,,5.411446060490317,5.724480967687106,1.5056583881378174,,
36,depth4_e,146,41.85298283994091,True,False,False,False,True,True,True,False,False,True,True,False,,,5.281835024639176,5.615548517093866,1.5049772262573242,0.674210938933277,0.9831874398868639
36,depth6_e,44,42.90171024584873,True,False,False,False,True,True,True,False,False,True,False,False,,,5.333229155464456,5.722840786494965,1.5171229839324951,0.3590560424064557,0.4249375333622067
36,high_fidelity_e,37,-107.56902766292453,True,False,False,False,True,True,True,False,False,True,False,False,,,5.449668069537244,5.789246621808817,1.4957811832427979,0.3481482978761928,1.13777884803988
37,ppo,200,3308.3287722746163,True,True,True,True,True,False,True,False,False,False,False,False,119,104,3.074975275592829,0.9459104822773778,1.8454070091247559,,
37,depth4_e,125,125.03194026914503,True,False,False,False,True,True,False,False,True,True,False,False,,,4.454231754283238,5.402783852906483,1.1959357261657715,0.9063986260917791,1.040290531888756
37,depth6_e,200,1248.8771546337384,True,False,True,False,True,False,True,False,False,False,True,False,,127,4.0688334547293685,2.796464462095936,2.469853401184082,0.7817575052621203,0.5246309745034388
37,high_fidelity_e,114,118.76744805828477,True,False,False,False,True,True,False,False,True,True,False,False,,,4.764789679726625,4.458886121263507,1.343857765197754,0.7604515075833904,0.9287960919921785
38,ppo,62,64.62889958720886,True,False,False,False,True,True,True,False,False,True,True,False,,,5.044477361844964,5.127806985932318,0.8846611380577087,,
38,depth4_e,80,69.4301023710152,True,False,False,False,True,True,True,False,False,True,True,False,,,5.037497647645595,6.078933952623522,1.569562315940857,0.38373584620823903,0.9339170856190627
38,depth6_e,59,78.21459336429126,True,False,False,False,True,True,True,False,False,True,True,False,,,5.0361672607689085,4.344258700619422,0.9780654907226562,0.274588068643051,0.7821775401345834
